Schluessel;PKWBenzin;PKWDiesel;PKWPM01;PKWPM0;PKWPM1;PKWPM2;PKWPM3;PKWPM4;PKWPM5;LKWBenzin;LKWDiesel;LKWPM01;LKWPM0;LKWPM1;LKWPM2;LKWPM3;LKWPM4;LKWPM5
0;"0";"0";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";""
1;"4";"0";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";""
2;"4";"0";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";""
3;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
4;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
5;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
6;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
7;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
8;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
9;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
10;"0";"0";"";"";"";"";"";"";"";"0";"0";"";"2";"3";"4";"";"";""
11;"0";"0";"";"";"";"";"";"";"";"0";"0";"";"2";"3";"4";"";"";""
12;"0";"0";"";"";"";"";"";"";"";"0";"0";"";"2";"3";"4";"";"";""
13;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
14;"4";"0";"";"2";"3";"";"";"";"";"";"";"";"";"";"";"";"";""
15;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
16;"4";"0";"";"2";"3";"";"";"";"";"";"";"";"";"";"";"";"";""
17;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
18;"4";"0";"";"2";"3";"";"";"";"";"";"";"";"";"";"";"";"";""
19;"4";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
20;"4";"0";"2";"";"";"";"";"";"";"4";"2";"";"";"3";"4";"4";"";""
21;"4";"0";"";"2";"3";"";"";"";"";"4";"2";"";"";"3";"4";"4";"";""
22;"4";"0";"";"2";"3";"";"";"";"";"4";"2";"";"";"3";"4";"4";"";""
23;"4";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
24;"4";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
25;"4";"2";"";"";"3";"4";"4";"4";"";"";"";"";"";"";"";"";"";""
26;"4";"2";"";"";"3";"4";"4";"4";"";"";"";"";"";"";"";"";"";""
27;"4";"2";"";"";"3";"4";"4";"4";"";"";"";"";"";"";"";"";"";""
28;"4";"2";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";""
29;"4";"2";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";""
30;"4";"3";"";"";"";"4";"4";"4";"4";"4";"0";"";"2";"3";"";"";"";""
31;"4";"3";"";"";"";"4";"4";"4";"4";"4";"0";"";"2";"3";"";"";"";""
32;"4";"4";"";"";"";"";"4";"4";"4";"4";"0";"";"2";"3";"";"";"";""
33;"4";"4";"";"";"";"";"4";"4";"4";"4";"2";"";"";"3";"4";"4";"4";""
34;"4";"0";"";"2";"3";"";"";"";"";"4";"3";"";"";"";"4";"4";"4";""
